Image,Classification
167949.jpg,Eliptical
69596.jpg,Barred Spiral
108863.jpg,Eliptical
14644.jpg,Eliptical
195714.jpg,Barred Spiral
150460.jpg,Barred Spiral
190980.jpg,Barred Spiral
50185.jpg,Barred Spiral
183546.jpg,Eliptical
39179.jpg,Barred Spiral
184210.jpg,Eliptical
221944.jpg,Eliptical
45931.jpg,Barred Spiral
95885.jpg,Eliptical
164886.jpg,Barred Spiral
243774.jpg,Eliptical
41539.jpg,Eliptical
240751.jpg,Eliptical
49170.jpg,Barred Spiral
168456.jpg,Barred Spiral
99016.jpg,Spiral
60657.jpg,Eliptical
1688.jpg,Eliptical
22571.jpg,Barred Spiral
194417.jpg,Spiral
196216.jpg,Eliptical
113241.jpg,Barred Spiral
98547.jpg,Eliptical
54654.jpg,Barred Spiral
194897.jpg,Spiral
55221.jpg,Barred Spiral
73375.jpg,Spiral
132112.jpg,Barred Spiral
8931.jpg,Eliptical
22055.jpg,Eliptical
4584.jpg,Eliptical
86341.jpg,Eliptical
161161.jpg,Spiral
113549.jpg,Eliptical
1956.jpg,Eliptical
178850.jpg,Eliptical
48871.jpg,Spiral
152084.jpg,Eliptical
24257.jpg,Eliptical
25984.jpg,Barred Spiral
119816.jpg,Spiral
56322.jpg,Eliptical
93347.jpg,Eliptical
185867.jpg,Barred Spiral
131433.jpg,Eliptical
140004.jpg,Spiral
34052.jpg,Barred Spiral
154535.jpg,Barred Spiral
50796.jpg,Spiral
8102.jpg,Eliptical
173368.jpg,Eliptical
13327.jpg,Barred Spiral
211040.jpg,Spiral
52584.jpg,Eliptical
10602.jpg,Barred Spiral
96859.jpg,Barred Spiral
134721.jpg,Eliptical
161623.jpg,Spiral
40310.jpg,Barred Spiral
36364.jpg,Spiral
215240.jpg,Eliptical
138089.jpg,Eliptical
75488.jpg,Barred Spiral
217800.jpg,Eliptical
6688.jpg,Eliptical
132521.jpg,Eliptical
191949.jpg,Eliptical
39748.jpg,Barred Spiral
50004.jpg,Barred Spiral
99082.jpg,Spiral
111125.jpg,Barred Spiral
69587.jpg,Eliptical
182067.jpg,Barred Spiral
7923.jpg,Spiral
180667.jpg,Barred Spiral
150551.jpg,Barred Spiral
113176.jpg,Eliptical
73140.jpg,Barred Spiral
114733.jpg,Barred Spiral
240944.jpg,Barred Spiral
84573.jpg,Eliptical
9620.jpg,Eliptical
24562.jpg,Eliptical
154517.jpg,Barred Spiral
115769.jpg,Eliptical
62127.jpg,Eliptical
54788.jpg,Eliptical
188060.jpg,Eliptical
233975.jpg,Barred Spiral
25715.jpg,Spiral
126710.jpg,Barred Spiral
65735.jpg,Eliptical
61376.jpg,Eliptical
16330.jpg,Eliptical
144246.jpg,Barred Spiral
104058.jpg,Eliptical
230252.jpg,Spiral
96581.jpg,Eliptical
127822.jpg,Barred Spiral
228653.jpg,Eliptical
167652.jpg,Barred Spiral
120681.jpg,Barred Spiral
111536.jpg,Barred Spiral
176345.jpg,Eliptical
67699.jpg,Spiral
37913.jpg,Eliptical
136607.jpg,Barred Spiral
142271.jpg,Barred Spiral
164093.jpg,Barred Spiral
222733.jpg,Barred Spiral
144390.jpg,Eliptical
214073.jpg,Barred Spiral
48478.jpg,Eliptical
19914.jpg,Eliptical
156846.jpg,Eliptical
121185.jpg,Eliptical
97557.jpg,Barred Spiral
134330.jpg,Barred Spiral
113453.jpg,Barred Spiral
17101.jpg,Eliptical
17425.jpg,Eliptical
142893.jpg,Barred Spiral
100807.jpg,Barred Spiral
160362.jpg,Barred Spiral
121763.jpg,Barred Spiral
217428.jpg,Eliptical
176529.jpg,Eliptical
171046.jpg,Barred Spiral
76489.jpg,Eliptical
22351.jpg,Eliptical
188913.jpg,Barred Spiral
171474.jpg,Eliptical
47603.jpg,Spiral
187756.jpg,Barred Spiral
5192.jpg,Barred Spiral
219968.jpg,Barred Spiral
132100.jpg,Eliptical
55088.jpg,Barred Spiral
139966.jpg,Eliptical
227499.jpg,Barred Spiral
214961.jpg,Barred Spiral
50530.jpg,Barred Spiral
114057.jpg,Barred Spiral
197840.jpg,Barred Spiral
79447.jpg,Eliptical
242472.jpg,Spiral
90289.jpg,Barred Spiral
215060.jpg,Barred Spiral
6936.jpg,Barred Spiral
106718.jpg,Barred Spiral
219538.jpg,Spiral
22402.jpg,Eliptical
136724.jpg,Barred Spiral
27589.jpg,Eliptical
39170.jpg,Barred Spiral
89292.jpg,Spiral
125038.jpg,Barred Spiral
14382.jpg,Eliptical
14801.jpg,Barred Spiral
78120.jpg,Barred Spiral
73143.jpg,Spiral
172540.jpg,Eliptical
192673.jpg,Eliptical
177219.jpg,Eliptical
18969.jpg,Barred Spiral
140650.jpg,Eliptical
113026.jpg,Barred Spiral
123592.jpg,Spiral
163615.jpg,Eliptical
38395.jpg,Spiral
163837.jpg,Eliptical
41554.jpg,Eliptical
161238.jpg,Barred Spiral
132750.jpg,Barred Spiral
83771.jpg,Eliptical
58382.jpg,Barred Spiral
155572.jpg,Barred Spiral
203373.jpg,Eliptical
91321.jpg,Eliptical
164726.jpg,Spiral
235964.jpg,Barred Spiral
187543.jpg,Spiral
80833.jpg,Barred Spiral
12999.jpg,Eliptical
46982.jpg,Barred Spiral
149690.jpg,Spiral
194058.jpg,Barred Spiral
25842.jpg,Barred Spiral
154857.jpg,Barred Spiral
196971.jpg,Barred Spiral
191112.jpg,Spiral
104048.jpg,Barred Spiral
153987.jpg,Eliptical
1590.jpg,Spiral
174666.jpg,Eliptical
157616.jpg,Spiral
23073.jpg,Eliptical
187046.jpg,Barred Spiral
219457.jpg,Spiral
231441.jpg,Eliptical
22865.jpg,Eliptical
185950.jpg,Eliptical
225791.jpg,Eliptical
197337.jpg,Barred Spiral
175749.jpg,Eliptical
117424.jpg,Eliptical
161753.jpg,Barred Spiral
74740.jpg,Eliptical
231478.jpg,Eliptical
77418.jpg,Eliptical
126057.jpg,Barred Spiral
244887.jpg,Barred Spiral
244417.jpg,Eliptical
212765.jpg,Barred Spiral
115078.jpg,Eliptical
103743.jpg,Eliptical
14998.jpg,Eliptical
89841.jpg,Eliptical
4084.jpg,Eliptical
229406.jpg,Eliptical
93408.jpg,Spiral
183433.jpg,Eliptical
43925.jpg,Barred Spiral
203242.jpg,Barred Spiral
44252.jpg,Eliptical
55419.jpg,Eliptical
32243.jpg,Eliptical
98201.jpg,Barred Spiral
11634.jpg,Eliptical
141328.jpg,Barred Spiral
220845.jpg,Barred Spiral
84195.jpg,Barred Spiral
130153.jpg,Barred Spiral
83089.jpg,Spiral
219206.jpg,Barred Spiral
233691.jpg,Barred Spiral
228550.jpg,Eliptical
222670.jpg,Spiral
45314.jpg,Eliptical
28731.jpg,Eliptical
224505.jpg,Eliptical
210420.jpg,Eliptical
264.jpg,Eliptical
16473.jpg,Barred Spiral
242252.jpg,Spiral
114329.jpg,Eliptical
11598.jpg,Eliptical
58936.jpg,Barred Spiral
109125.jpg,Eliptical
4339.jpg,Barred Spiral
14782.jpg,Spiral
34115.jpg,Eliptical
166675.jpg,Barred Spiral
221463.jpg,Barred Spiral
82461.jpg,Barred Spiral
124344.jpg,Eliptical
196548.jpg,Barred Spiral
151018.jpg,Eliptical
173242.jpg,Barred Spiral
93807.jpg,Barred Spiral
25630.jpg,Spiral
240761.jpg,Spiral
222306.jpg,Eliptical
38191.jpg,Barred Spiral
41579.jpg,Eliptical
89945.jpg,Eliptical
191226.jpg,Eliptical
152304.jpg,Barred Spiral
61647.jpg,Eliptical
145646.jpg,Eliptical
1133.jpg,Barred Spiral
77854.jpg,Barred Spiral
84151.jpg,Barred Spiral
137804.jpg,Barred Spiral
242899.jpg,Spiral
193340.jpg,Barred Spiral
99873.jpg,Eliptical
18423.jpg,Barred Spiral
117092.jpg,Barred Spiral
16529.jpg,Barred Spiral
244607.jpg,Spiral
116393.jpg,Barred Spiral
122746.jpg,Barred Spiral
176004.jpg,Spiral
243368.jpg,Barred Spiral
152864.jpg,Barred Spiral
73623.jpg,Eliptical
15290.jpg,Eliptical
15626.jpg,Barred Spiral
143203.jpg,Eliptical
69337.jpg,Spiral
68960.jpg,Barred Spiral
110577.jpg,Spiral
2495.jpg,Barred Spiral
82703.jpg,Eliptical
134958.jpg,Barred Spiral
135619.jpg,Barred Spiral
209209.jpg,Eliptical
218287.jpg,Eliptical
60768.jpg,Barred Spiral
150338.jpg,Spiral
24014.jpg,Spiral
19139.jpg,Spiral
88080.jpg,Eliptical
79358.jpg,Eliptical
98701.jpg,Barred Spiral
162439.jpg,Eliptical
64491.jpg,Spiral
119750.jpg,Eliptical
124008.jpg,Spiral
162650.jpg,Eliptical
22543.jpg,Eliptical
170919.jpg,Spiral
223184.jpg,Eliptical
127428.jpg,Spiral
97773.jpg,Barred Spiral
205208.jpg,Eliptical
43871.jpg,Barred Spiral
119970.jpg,Eliptical
43694.jpg,Barred Spiral
118472.jpg,Eliptical
155019.jpg,Barred Spiral
148287.jpg,Barred Spiral
222073.jpg,Eliptical
171443.jpg,Barred Spiral
52548.jpg,Eliptical
201619.jpg,Spiral
54295.jpg,Spiral
3125.jpg,Eliptical
90804.jpg,Spiral
225436.jpg,Eliptical
117867.jpg,Barred Spiral
204209.jpg,Spiral
216901.jpg,Barred Spiral
105818.jpg,Barred Spiral
162671.jpg,Barred Spiral
82966.jpg,Eliptical
102227.jpg,Barred Spiral
122887.jpg,Eliptical
6885.jpg,Spiral
132626.jpg,Eliptical
35275.jpg,Barred Spiral
165542.jpg,Eliptical
108428.jpg,Eliptical
165173.jpg,Eliptical
50327.jpg,Spiral
236194.jpg,Eliptical
245562.jpg,Barred Spiral
167769.jpg,Eliptical
179719.jpg,Spiral
61905.jpg,Eliptical
79122.jpg,Eliptical
136435.jpg,Barred Spiral
239735.jpg,Spiral
209643.jpg,Barred Spiral
25121.jpg,Barred Spiral
115844.jpg,Eliptical
217959.jpg,Eliptical
210257.jpg,Eliptical
109999.jpg,Spiral
209937.jpg,Barred Spiral
61530.jpg,Barred Spiral
76641.jpg,Spiral
158542.jpg,Eliptical
241427.jpg,Eliptical
132528.jpg,Barred Spiral
237846.jpg,Barred Spiral
186351.jpg,Barred Spiral
56599.jpg,Eliptical
204373.jpg,Eliptical
64807.jpg,Barred Spiral
16071.jpg,Eliptical
142509.jpg,Barred Spiral
177470.jpg,Spiral
203924.jpg,Barred Spiral
220517.jpg,Eliptical
150345.jpg,Eliptical
198828.jpg,Spiral
28091.jpg,Barred Spiral
3032.jpg,Eliptical
225248.jpg,Spiral
15747.jpg,Eliptical
103215.jpg,Barred Spiral
174719.jpg,Eliptical
122608.jpg,Eliptical
120349.jpg,Spiral
219350.jpg,Spiral
756.jpg,Eliptical
92192.jpg,Barred Spiral
22744.jpg,Barred Spiral
144057.jpg,Eliptical
72475.jpg,Spiral
160411.jpg,Spiral
179959.jpg,Eliptical
218552.jpg,Eliptical
173246.jpg,Barred Spiral
242212.jpg,Eliptical
187754.jpg,Spiral
183630.jpg,Eliptical
159228.jpg,Eliptical
102208.jpg,Barred Spiral
101445.jpg,Barred Spiral
99690.jpg,Barred Spiral
145372.jpg,Spiral
222700.jpg,Eliptical
10515.jpg,Eliptical
10761.jpg,Eliptical
93885.jpg,Spiral
158234.jpg,Spiral
115394.jpg,Eliptical
151753.jpg,Spiral
101849.jpg,Barred Spiral
150147.jpg,Eliptical
233954.jpg,Eliptical
169881.jpg,Barred Spiral
46585.jpg,Eliptical
49449.jpg,Barred Spiral
27845.jpg,Barred Spiral
235587.jpg,Barred Spiral
218825.jpg,Barred Spiral
187782.jpg,Barred Spiral
110917.jpg,Spiral
158823.jpg,Eliptical
122956.jpg,Spiral
190557.jpg,Eliptical
179736.jpg,Eliptical
144652.jpg,Spiral
192665.jpg,Barred Spiral
12504.jpg,Eliptical
101003.jpg,Barred Spiral
177620.jpg,Spiral
37086.jpg,Eliptical
73717.jpg,Eliptical
165291.jpg,Eliptical
155609.jpg,Eliptical
92793.jpg,Barred Spiral
224786.jpg,Eliptical
18757.jpg,Barred Spiral
62537.jpg,Barred Spiral
174925.jpg,Eliptical
210337.jpg,Eliptical
114911.jpg,Eliptical
127161.jpg,Eliptical
66300.jpg,Barred Spiral
201592.jpg,Eliptical
102510.jpg,Spiral
50994.jpg,Eliptical
219813.jpg,Spiral
132228.jpg,Eliptical
220378.jpg,Eliptical
156949.jpg,Barred Spiral
1293.jpg,Barred Spiral
214892.jpg,Spiral
153129.jpg,Barred Spiral
205962.jpg,Barred Spiral
226032.jpg,Eliptical
103211.jpg,Spiral
198187.jpg,Barred Spiral
28846.jpg,Eliptical
19899.jpg,Barred Spiral
230895.jpg,Eliptical
148987.jpg,Spiral
217263.jpg,Barred Spiral
149816.jpg,Spiral
84626.jpg,Barred Spiral
83887.jpg,Spiral
52401.jpg,Barred Spiral
82472.jpg,Spiral
32906.jpg,Barred Spiral
176131.jpg,Spiral
149974.jpg,Eliptical
114485.jpg,Barred Spiral
87674.jpg,Barred Spiral
226948.jpg,Spiral
35302.jpg,Barred Spiral
125190.jpg,Spiral
200806.jpg,Barred Spiral
70239.jpg,Spiral
165744.jpg,Eliptical
153435.jpg,Eliptical
214973.jpg,Eliptical
81897.jpg,Eliptical
7089.jpg,Spiral
220799.jpg,Barred Spiral
141891.jpg,Eliptical
125266.jpg,Eliptical
112657.jpg,Barred Spiral
137807.jpg,Eliptical
89105.jpg,Barred Spiral
173750.jpg,Eliptical
233689.jpg,Barred Spiral
3319.jpg,Eliptical
170827.jpg,Barred Spiral
208516.jpg,Eliptical
123629.jpg,Spiral
166945.jpg,Spiral
99891.jpg,Spiral
81951.jpg,Barred Spiral
119110.jpg,Barred Spiral
117529.jpg,Barred Spiral
15025.jpg,Eliptical
45869.jpg,Spiral
49399.jpg,Barred Spiral
186204.jpg,Eliptical
175013.jpg,Barred Spiral
88536.jpg,Spiral
221638.jpg,Barred Spiral
221554.jpg,Barred Spiral
170377.jpg,Eliptical
101452.jpg,Eliptical
137801.jpg,Eliptical
135551.jpg,Barred Spiral
114342.jpg,Eliptical
66109.jpg,Barred Spiral
218679.jpg,Spiral
169988.jpg,Eliptical
73105.jpg,Barred Spiral
106559.jpg,Eliptical
155297.jpg,Eliptical
94188.jpg,Barred Spiral
83989.jpg,Spiral
103486.jpg,Spiral
206911.jpg,Eliptical
32659.jpg,Eliptical
20662.jpg,Barred Spiral
56270.jpg,Eliptical
190789.jpg,Barred Spiral
194653.jpg,Eliptical
131789.jpg,Spiral
79607.jpg,Eliptical
186227.jpg,Barred Spiral
90855.jpg,Eliptical
206152.jpg,Eliptical
244147.jpg,Spiral
187520.jpg,Eliptical
221191.jpg,Eliptical
68314.jpg,Eliptical
70100.jpg,Spiral
3905.jpg,Barred Spiral
220525.jpg,Eliptical
102891.jpg,Eliptical
53478.jpg,Barred Spiral
86159.jpg,Eliptical
213640.jpg,Spiral
1031.jpg,Spiral
125530.jpg,Spiral
168068.jpg,Barred Spiral
171831.jpg,Eliptical
201195.jpg,Eliptical
155137.jpg,Eliptical
73573.jpg,Eliptical
199731.jpg,Eliptical
85667.jpg,Eliptical
98350.jpg,Barred Spiral
223049.jpg,Barred Spiral
107370.jpg,Eliptical
76817.jpg,Eliptical
149858.jpg,Eliptical
15286.jpg,Spiral
198992.jpg,Spiral
59036.jpg,Barred Spiral
98684.jpg,Barred Spiral
51814.jpg,Eliptical
39858.jpg,Barred Spiral
144673.jpg,Spiral
99352.jpg,Spiral
205108.jpg,Barred Spiral
209675.jpg,Spiral
176629.jpg,Barred Spiral
58576.jpg,Barred Spiral
11817.jpg,Barred Spiral
162754.jpg,Barred Spiral
127908.jpg,Eliptical
101763.jpg,Eliptical
232757.jpg,Spiral
125547.jpg,Eliptical
228415.jpg,Barred Spiral
31674.jpg,Barred Spiral
31238.jpg,Barred Spiral
116228.jpg,Barred Spiral
122147.jpg,Barred Spiral
118110.jpg,Eliptical
126515.jpg,Eliptical
114392.jpg,Eliptical
73566.jpg,Eliptical
49400.jpg,Barred Spiral
127846.jpg,Barred Spiral
23632.jpg,Eliptical
67164.jpg,Spiral
7540.jpg,Barred Spiral
220448.jpg,Eliptical
98682.jpg,Eliptical
215442.jpg,Barred Spiral
175551.jpg,Eliptical
121515.jpg,Eliptical
34572.jpg,Barred Spiral
184465.jpg,Barred Spiral
518.jpg,Barred Spiral
118138.jpg,Barred Spiral
114667.jpg,Barred Spiral
150453.jpg,Barred Spiral
28878.jpg,Barred Spiral
133850.jpg,Eliptical
206279.jpg,Eliptical
57103.jpg,Eliptical
23316.jpg,Eliptical
175787.jpg,Eliptical
21250.jpg,Eliptical
40814.jpg,Barred Spiral
193585.jpg,Eliptical
124224.jpg,Barred Spiral
161833.jpg,Barred Spiral
125211.jpg,Spiral
82959.jpg,Eliptical
59372.jpg,Barred Spiral
162268.jpg,Barred Spiral
153633.jpg,Spiral
36307.jpg,Eliptical
167102.jpg,Eliptical
83768.jpg,Eliptical
111119.jpg,Eliptical
190845.jpg,Eliptical
143178.jpg,Eliptical
181154.jpg,Eliptical
141324.jpg,Barred Spiral
56043.jpg,Eliptical
99881.jpg,Barred Spiral
117910.jpg,Spiral
143572.jpg,Eliptical
69671.jpg,Eliptical
169419.jpg,Barred Spiral
152653.jpg,Eliptical
194828.jpg,Spiral
112149.jpg,Eliptical
87905.jpg,Barred Spiral
47519.jpg,Eliptical
79913.jpg,Barred Spiral
24259.jpg,Eliptical
30486.jpg,Barred Spiral
76006.jpg,Barred Spiral
244605.jpg,Barred Spiral
174508.jpg,Eliptical
197169.jpg,Barred Spiral
169400.jpg,Eliptical
89387.jpg,Eliptical
212331.jpg,Barred Spiral
74442.jpg,Barred Spiral
36513.jpg,Barred Spiral
160989.jpg,Eliptical
39689.jpg,Eliptical
14654.jpg,Barred Spiral
33485.jpg,Eliptical
88788.jpg,Eliptical
95055.jpg,Barred Spiral
59626.jpg,Eliptical
232417.jpg,Barred Spiral
100843.jpg,Eliptical
23101.jpg,Spiral
64015.jpg,Barred Spiral
24260.jpg,Eliptical
237600.jpg,Eliptical
32346.jpg,Barred Spiral
154626.jpg,Eliptical
219423.jpg,Spiral
123452.jpg,Barred Spiral
26811.jpg,Barred Spiral
70041.jpg,Spiral
130289.jpg,Eliptical
126264.jpg,Barred Spiral
158711.jpg,Spiral
64161.jpg,Barred Spiral
16159.jpg,Eliptical
175028.jpg,Eliptical
37438.jpg,Eliptical
174312.jpg,Eliptical
107811.jpg,Spiral
55114.jpg,Barred Spiral
238577.jpg,Barred Spiral
52443.jpg,Eliptical
9378.jpg,Eliptical
41149.jpg,Spiral
237125.jpg,Eliptical
118206.jpg,Eliptical
157292.jpg,Eliptical
221380.jpg,Barred Spiral
225741.jpg,Barred Spiral
243202.jpg,Barred Spiral
105741.jpg,Eliptical
13237.jpg,Barred Spiral
105965.jpg,Barred Spiral
143408.jpg,Eliptical
174214.jpg,Eliptical
36814.jpg,Eliptical
184584.jpg,Eliptical
231220.jpg,Barred Spiral
74643.jpg,Barred Spiral
173554.jpg,Eliptical
186411.jpg,Eliptical
157772.jpg,Spiral
58064.jpg,Spiral
237424.jpg,Eliptical
175714.jpg,Eliptical
144400.jpg,Spiral
53077.jpg,Eliptical
201301.jpg,Spiral
149099.jpg,Eliptical
138178.jpg,Eliptical
97651.jpg,Barred Spiral
169411.jpg,Eliptical
65628.jpg,Barred Spiral
70666.jpg,Barred Spiral
243515.jpg,Barred Spiral
228557.jpg,Barred Spiral
38460.jpg,Eliptical
82889.jpg,Barred Spiral
103044.jpg,Barred Spiral
243965.jpg,Barred Spiral
181741.jpg,Eliptical
72286.jpg,Eliptical
188906.jpg,Eliptical
51536.jpg,Eliptical
108442.jpg,Spiral
121104.jpg,Barred Spiral
113870.jpg,Eliptical
30762.jpg,Barred Spiral
101547.jpg,Barred Spiral
221366.jpg,Barred Spiral
91091.jpg,Eliptical
158957.jpg,Spiral
176885.jpg,Spiral
58818.jpg,Barred Spiral
159355.jpg,Barred Spiral
61831.jpg,Eliptical
13110.jpg,Eliptical
35386.jpg,Barred Spiral
22759.jpg,Eliptical
114670.jpg,Eliptical
94462.jpg,Spiral
33541.jpg,Spiral
132325.jpg,Spiral
172581.jpg,Eliptical
58138.jpg,Barred Spiral
108196.jpg,Spiral
124412.jpg,Eliptical
179061.jpg,Barred Spiral
79648.jpg,Barred Spiral
24106.jpg,Eliptical
101303.jpg,Barred Spiral
19829.jpg,Eliptical
162334.jpg,Barred Spiral
92031.jpg,Barred Spiral
79505.jpg,Spiral
225356.jpg,Barred Spiral
199642.jpg,Spiral
207404.jpg,Spiral
132856.jpg,Barred Spiral
214819.jpg,Barred Spiral
91420.jpg,Eliptical
94451.jpg,Barred Spiral
245019.jpg,Eliptical
37949.jpg,Spiral
163219.jpg,Eliptical
213856.jpg,Eliptical
128305.jpg,Spiral
166252.jpg,Eliptical
139294.jpg,Eliptical
9937.jpg,Barred Spiral
232187.jpg,Spiral
9183.jpg,Eliptical
124188.jpg,Eliptical
181514.jpg,Barred Spiral
40379.jpg,Barred Spiral
224329.jpg,Spiral
87451.jpg,Barred Spiral
80040.jpg,Eliptical
27989.jpg,Eliptical
163195.jpg,Barred Spiral
27976.jpg,Spiral
21068.jpg,Eliptical
238179.jpg,Barred Spiral
179177.jpg,Barred Spiral
231625.jpg,Barred Spiral
194719.jpg,Barred Spiral
35838.jpg,Spiral
237922.jpg,Barred Spiral
129579.jpg,Barred Spiral
69157.jpg,Eliptical
129529.jpg,Barred Spiral
161058.jpg,Spiral
58628.jpg,Eliptical
91542.jpg,Spiral
19307.jpg,Eliptical
92252.jpg,Barred Spiral
61221.jpg,Spiral
2285.jpg,Barred Spiral
213395.jpg,Spiral
70813.jpg,Eliptical
206701.jpg,Barred Spiral
54193.jpg,Spiral
168585.jpg,Barred Spiral
62643.jpg,Barred Spiral
137478.jpg,Barred Spiral
185533.jpg,Eliptical
88595.jpg,Eliptical
209802.jpg,Eliptical
15690.jpg,Eliptical
178485.jpg,Eliptical
38623.jpg,Barred Spiral
171480.jpg,Barred Spiral
137416.jpg,Barred Spiral
188273.jpg,Spiral
23403.jpg,Eliptical
40766.jpg,Spiral
221224.jpg,Spiral
78066.jpg,Eliptical
68497.jpg,Eliptical
114867.jpg,Eliptical
88096.jpg,Eliptical
123910.jpg,Eliptical
208123.jpg,Eliptical
47108.jpg,Eliptical
40533.jpg,Eliptical
180559.jpg,Spiral
188258.jpg,Eliptical
114455.jpg,Spiral
53605.jpg,Barred Spiral
1058.jpg,Spiral
235897.jpg,Eliptical
194656.jpg,Eliptical
22549.jpg,Spiral
167346.jpg,Eliptical
163526.jpg,Barred Spiral
167434.jpg,Spiral
225573.jpg,Eliptical
91347.jpg,Spiral
25552.jpg,Spiral
26145.jpg,Barred Spiral
8384.jpg,Eliptical
107601.jpg,Eliptical
142397.jpg,Eliptical
117598.jpg,Barred Spiral
119307.jpg,Eliptical
109079.jpg,Eliptical
169668.jpg,Eliptical
126632.jpg,Eliptical
77725.jpg,Spiral
194689.jpg,Eliptical
3597.jpg,Eliptical
127193.jpg,Spiral
175582.jpg,Eliptical
226638.jpg,Eliptical
97468.jpg,Barred Spiral
209813.jpg,Barred Spiral
191364.jpg,Eliptical
187531.jpg,Eliptical
58034.jpg,Spiral
57841.jpg,Barred Spiral
49384.jpg,Barred Spiral
183825.jpg,Barred Spiral
208080.jpg,Barred Spiral
141300.jpg,Eliptical
134956.jpg,Eliptical
20622.jpg,Eliptical
37694.jpg,Eliptical
151279.jpg,Barred Spiral
223243.jpg,Eliptical
67793.jpg,Eliptical
165982.jpg,Barred Spiral
79414.jpg,Eliptical
158856.jpg,Spiral
114207.jpg,Eliptical
192303.jpg,Barred Spiral
38906.jpg,Spiral
131828.jpg,Eliptical
225733.jpg,Eliptical
69310.jpg,Eliptical
57374.jpg,Eliptical
69724.jpg,Eliptical
173214.jpg,Barred Spiral
195116.jpg,Barred Spiral
112338.jpg,Eliptical
203124.jpg,Eliptical
86333.jpg,Barred Spiral
83454.jpg,Eliptical
35019.jpg,Eliptical
98756.jpg,Eliptical
99674.jpg,Barred Spiral
197633.jpg,Eliptical
215119.jpg,Eliptical
75633.jpg,Eliptical
39296.jpg,Barred Spiral
136071.jpg,Eliptical
82388.jpg,Barred Spiral
129348.jpg,Barred Spiral
236268.jpg,Barred Spiral
72341.jpg,Eliptical
208244.jpg,Barred Spiral
71462.jpg,Barred Spiral
41481.jpg,Spiral
150866.jpg,Barred Spiral
131115.jpg,Eliptical
229278.jpg,Barred Spiral
156449.jpg,Eliptical
18946.jpg,Barred Spiral
99356.jpg,Eliptical
26913.jpg,Eliptical
221362.jpg,Eliptical
36005.jpg,Eliptical
133588.jpg,Eliptical
173265.jpg,Spiral
5417.jpg,Barred Spiral
223871.jpg,Eliptical
34423.jpg,Eliptical
53501.jpg,Barred Spiral
68259.jpg,Barred Spiral
19665.jpg,Eliptical
73984.jpg,Barred Spiral
240537.jpg,Barred Spiral
169630.jpg,Eliptical
93602.jpg,Eliptical
23050.jpg,Eliptical
9627.jpg,Spiral
74573.jpg,Eliptical
53411.jpg,Barred Spiral
108746.jpg,Spiral
70148.jpg,Barred Spiral
69084.jpg,Eliptical
212523.jpg,Eliptical
242482.jpg,Spiral
594.jpg,Eliptical
203640.jpg,Eliptical
96127.jpg,Spiral
235688.jpg,Eliptical
76127.jpg,Barred Spiral
235613.jpg,Spiral
34926.jpg,Eliptical
204080.jpg,Eliptical
50349.jpg,Eliptical
144919.jpg,Spiral
66478.jpg,Barred Spiral
217976.jpg,Eliptical
109911.jpg,Eliptical
130280.jpg,Barred Spiral
16469.jpg,Barred Spiral
98839.jpg,Eliptical
100152.jpg,Spiral
113235.jpg,Eliptical
156938.jpg,Barred Spiral
31926.jpg,Eliptical
189259.jpg,Eliptical
126038.jpg,Spiral
21725.jpg,Barred Spiral
207992.jpg,Eliptical
136332.jpg,Eliptical
223439.jpg,Barred Spiral
8806.jpg,Eliptical
179562.jpg,Eliptical
195633.jpg,Eliptical
85653.jpg,Eliptical
38053.jpg,Spiral
165805.jpg,Eliptical
24155.jpg,Barred Spiral
33018.jpg,Barred Spiral
52535.jpg,Barred Spiral
74653.jpg,Eliptical
227391.jpg,Barred Spiral
229179.jpg,Spiral
206997.jpg,Barred Spiral
114243.jpg,Spiral
126027.jpg,Spiral
16646.jpg,Barred Spiral
130131.jpg,Eliptical
168724.jpg,Barred Spiral
233925.jpg,Eliptical
53867.jpg,Spiral
95344.jpg,Spiral
192782.jpg,Eliptical
140430.jpg,Spiral
225736.jpg,Barred Spiral
103332.jpg,Spiral
98954.jpg,Barred Spiral
149792.jpg,Barred Spiral
195005.jpg,Eliptical
228838.jpg,Eliptical
143946.jpg,Barred Spiral
123359.jpg,Eliptical
168566.jpg,Barred Spiral
223070.jpg,Eliptical
88906.jpg,Eliptical
152191.jpg,Barred Spiral
129.jpg,Barred Spiral
226881.jpg,Barred Spiral
85612.jpg,Barred Spiral
32377.jpg,Eliptical
66635.jpg,Spiral
49545.jpg,Spiral
126523.jpg,Eliptical
39953.jpg,Barred Spiral
138243.jpg,Eliptical
152642.jpg,Eliptical
101948.jpg,Eliptical
37403.jpg,Eliptical
187784.jpg,Eliptical
57032.jpg,Eliptical
207421.jpg,Eliptical
245558.jpg,Barred Spiral
83090.jpg,Eliptical
168745.jpg,Eliptical
70943.jpg,Spiral
83225.jpg,Eliptical
93957.jpg,Eliptical
72988.jpg,Spiral
31932.jpg,Eliptical
234618.jpg,Eliptical
79409.jpg,Spiral
15653.jpg,Spiral
20271.jpg,Eliptical
7199.jpg,Barred Spiral
219527.jpg,Barred Spiral
205950.jpg,Eliptical
69017.jpg,Eliptical
132510.jpg,Barred Spiral
103351.jpg,Barred Spiral
216325.jpg,Barred Spiral
38114.jpg,Eliptical
174911.jpg,Barred Spiral
